ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.4377,5.7653,7.139,,,,,,,,,,716.0,25.14,-18.11,-34.19,308.67,-37.39,18.85,5.0,1020.39,50.945,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,8 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183931,5022.157128,N,00408.331995,W,2,07,2.0,16.0,M,47.0,M,,*66::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183931,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3E::$GPGSA,A,3,04,08,16,18,21,26,27,,,,,,2.2,2.0,0.9*39",2004,2017-04-26 19:39:55:202
-1.1957,9.5262,6.9128,,,,,,,,,,716.0,27.04,-21.03,-31.18,306.63,-53.63,9.81,5.0,1020.39,54.653,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,5 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183931,5022.157128,N,00408.331995,W,2,07,2.0,16.0,M,47.0,M,,*66::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183931,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3E::$GPGSA,A,3,04,08,16,18,21,26,27,,,,,,2.2,2.0,0.9*39",2203,2017-04-26 19:39:55:401
-0.9481,6.9291,6.0481,,,,,,,,,,313.0,27.04,-21.03,-31.18,306.63,-53.63,9.81,5.0,1020.39,54.653,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,5 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183932,5022.157127,N,00408.331997,W,2,05,2.4,16.0,M,47.0,M,,*6E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183932,A,5022.157127,N,00408.331997,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,16,21,26,27,,,,,,,,2.6,2.4,1.0*30",2405,2017-04-26 19:39:55:603
-3.0161,7.0077,7.3898,,,,,,,,,,313.0,26.84,-32.21,-23.34,267.46,-48.54,8.91,5.0,1020.4,58.294,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,5 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183932,5022.157127,N,00408.331997,W,2,05,2.4,16.0,M,47.0,M,,*6E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183932,A,5022.157127,N,00408.331997,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,16,21,26,27,,,,,,,,2.6,2.4,1.0*30",2604,2017-04-26 19:39:55:802
-1.7729,5.6064,7.7257,,,,,,,,,,1001.0,28.62,-36.52,-22.58,250.24,-41.28,22.2,5.0,1020.4,69.009,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,5 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183932,5022.157127,N,00408.331997,W,2,05,2.4,16.0,M,47.0,M,,*6E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183932,A,5022.157127,N,00408.331997,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,16,21,26,27,,,,,,,,2.6,2.4,1.0*30",2805,2017-04-26 19:39:56:003
0.2871,8.3165,8.8188,,,,,,,,,,631.0,30.49,-32.61,-28.66,253.49,-35.27,12.92,5.0,1020.39,69.009,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,5 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183932,5022.157127,N,00408.331997,W,2,05,2.4,16.0,M,47.0,M,,*6E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183932,A,5022.157127,N,00408.331997,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,16,21,26,27,,,,,,,,2.6,2.4,1.0*30",3004,2017-04-26 19:39:56:202
2.0478,4.4971,5.0849,,,,,,,,,,631.0,26.41,-31.27,-34.9,271.8,-43.31,-1.86,5.0,1020.39,71.52,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,5 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183932,5022.157127,N,00408.331997,W,2,05,2.4,16.0,M,47.0,M,,*6E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183932,A,5022.157127,N,00408.331997,W,0.0,,260417,4.8,W,D*30::$GPGSA,A,3,04,16,21,26,27,,,,,,,,2.6,2.4,1.0*30",3204,2017-04-26 19:39:56:402
1.4987,8.0462,4.6047,,,,,,,,,,20.0,19.29,-37.82,-35.12,246.59,-39.36,-21.94,0.0,1020.43,71.52,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,7 / 16,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183933,5022.157019,N,00408.332048,W,2,06,1.4,16.0,M,47.0,M,,*6B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183933,A,5022.157019,N,00408.332048,W,0.0,,260417,4.8,W,D*35::$GPGSA,A,3,04,16,18,21,26,27,,,,,,,1.7,1.4,0.9*30",3404,2017-04-26 19:39:56:602
0.4978,7.057,8.8523,,,,,,,,,,20.0,11.59,-50.96,-34.33,215.91,-38.52,-3.22,0.0,1020.42,73.056,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,7 / 16,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183933,5022.157019,N,00408.332048,W,2,06,1.4,16.0,M,47.0,M,,*6B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183933,A,5022.157019,N,00408.332048,W,0.0,,260417,4.8,W,D*35::$GPGSA,A,3,04,16,18,21,26,27,,,,,,,1.7,1.4,0.9*30",3604,2017-04-26 19:39:56:802
0.8609,9.7108,1.6992,,,,,,,,,,49.0,8.33,-57.95,-33.91,303.77,-78.9,-26.87,0.0,1020.42,68.292,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,7 / 16,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183933,5022.157019,N,00408.332048,W,2,06,1.4,16.0,M,47.0,M,,*6B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183933,A,5022.157019,N,00408.332048,W,0.0,,260417,4.8,W,D*35::$GPGSA,A,3,04,16,18,21,26,27,,,,,,,1.7,1.4,0.9*30",3804,2017-04-26 19:39:57:002
-1.8169,8.3633,2.6659,,,,,,,,,,85.0,6.66,-60.89,-31.93,273.41,-70.22,-32.11,0.0,1020.43,68.292,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,7 / 16,"$GPGSV,3,3,10,20,20,047,,29,03,082,*79::$GPGGA,183933,5022.157019,N,00408.332048,W,2,06,1.4,16.0,M,47.0,M,,*6B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183933,A,5022.157019,N,00408.332048,W,0.0,,260417,4.8,W,D*35::$GPGSA,A,3,04,16,18,21,26,27,,,,,,,1.7,1.4,0.9*30",4005,2017-04-26 19:39:57:203
